Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
5008827,1.0,1.0,1.0,0,180000.0,1.0,1.0,1.0,1.0,-18772.0,365243,1,0,0,0,3.0,2,1
5009744,0.0,1.0,0.0,0,315000.0,0.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009746,0.0,1.0,0.0,0,315000.0,0.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009749,0.0,1.0,0.0,0,315000.0,0.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009752,0.0,1.0,0.0,0,315000.0,0.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009753,0.0,1.0,0.0,0,315000.0,1.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009754,0.0,1.0,0.0,0,315000.0,0.0,1.0,1.0,1.0,-13557.0,-586,1,1,1,0,3.0,2,1
5009894,0.0,0.0,0.0,0,180000.0,1.0,4.0,1.0,1.0,-22134.0,365243,1,0,0,0,3.0,2,1
5010864,1.0,1.0,1.0,1,450000.0,0.0,4.0,1.0,1.0,-18173.0,-678,1,0,1,1,3.0,3,1
5010868,1.0,1.0,1.0,1,450000.0,1.0,4.0,1.0,1.0,-18173.0,-678,1,0,1,1,3.0,3,1
5010869,1.0,1.0,1.0,1,450000.0,0.0,4.0,3.0,1.0,-18173.0,-678,1,0,1,1,3.0,1,1
5018498,0.0,1.0,1.0,0,90000.0,3.0,4.0,1.0,1.0,-18950.0,-1002,1,1,1,0,2.0,2,1
5018501,0.0,1.0,1.0,0,90000.0,3.0,4.0,1.0,1.0,-18950.0,-1002,1,1,1,0,2.0,2,1
5018503,0.0,1.0,1.0,0,90000.0,3.0,4.0,1.0,1.0,-18950.0,-1002,1,1,1,0,2.0,2,1
5021303,1.0,0.0,0.0,1,472500.0,1.0,1.0,1.0,5.0,-8907.0,-913,1,0,0,1,8.0,3,1
5021310,1.0,0.0,1.0,0,270000.0,3.0,4.0,1.0,1.0,-16896.0,-248,1,0,0,0,8.0,2,1
5021314,1.0,0.0,1.0,0,270000.0,3.0,4.0,3.0,1.0,-16896.0,-248,1,0,0,0,8.0,2,1
5021430,0.0,0.0,1.0,0,126000.0,0.0,1.0,3.0,1.0,-18907.0,-2470,1,0,0,0,14.0,1,1
5021431,0.0,0.0,1.0,0,126000.0,0.0,1.0,3.0,1.0,-18907.0,-2470,1,0,0,0,14.0,1,1
5021998,1.0,0.0,1.0,0,90000.0,1.0,4.0,1.0,1.0,-18863.0,-1644,1,0,0,1,8.0,2,1
5022053,1.0,0.0,0.0,0,202500.0,3.0,1.0,3.0,1.0,-12811.0,-4327,1,0,0,0,8.0,1,1
5022617,1.0,1.0,1.0,0,202500.0,0.0,4.0,0.0,1.0,-12022.0,-1674,1,0,0,1,8.0,2,1
5023781,1.0,0.0,1.0,0,157500.0,0.0,1.0,0.0,1.0,-17800.0,-1086,1,0,0,0,0.0,2,1
5023831,0.0,0.0,1.0,2,112500.0,0.0,4.0,1.0,1.0,-12135.0,-925,1,0,0,0,14.0,4,1
5024071,0.0,0.0,1.0,0,180000.0,3.0,1.0,1.0,1.0,-15976.0,-854,1,0,0,0,8.0,2,1
5024213,0.0,1.0,1.0,0,540000.0,0.0,1.0,1.0,1.0,-15702.0,-185,1,0,1,0,6.0,2,1
5024916,0.0,0.0,1.0,0,112500.0,1.0,4.0,1.0,1.0,-21832.0,365243,1,0,1,0,6.0,2,1
5024917,0.0,0.0,1.0,0,292500.0,1.0,4.0,1.0,1.0,-21832.0,365243,1,0,1,0,6.0,2,1
5025127,1.0,0.0,1.0,0,292500.0,3.0,4.0,1.0,1.0,-11111.0,-3350,1,0,0,0,6.0,2,1
5028580,1.0,0.0,0.0,0,540000.0,0.0,1.0,1.0,1.0,-19996.0,-691,1,0,0,0,10.0,2,1
5029028,0.0,0.0,1.0,0,90000.0,3.0,3.0,3.0,4.0,-12026.0,-4770,1,0,0,0,1.0,2,1
5029311,0.0,0.0,1.0,0,112500.0,1.0,4.0,1.0,1.0,-21876.0,365243,1,0,1,1,8.0,2,1
5033453,0.0,0.0,0.0,0,135000.0,3.0,1.0,3.0,1.0,-10749.0,-2394,1,0,0,0,8.0,1,1
5033514,0.0,1.0,0.0,1,135000.0,3.0,4.0,1.0,1.0,-15952.0,-384,1,1,0,0,14.0,3,1
5033916,1.0,0.0,1.0,0,180000.0,3.0,4.0,1.0,1.0,-13015.0,-3647,1,0,0,0,4.0,2,1
5036469,1.0,1.0,0.0,0,112500.0,2.0,4.0,3.0,1.0,-20333.0,-1546,1,0,0,0,4.0,2,1
5036590,1.0,1.0,1.0,0,292500.0,3.0,1.0,1.0,1.0,-21055.0,-808,1,0,0,0,4.0,2,1
5036660,0.0,1.0,1.0,0,76500.0,1.0,4.0,1.0,1.0,-23835.0,365243,1,0,0,0,8.0,2,1
5036795,1.0,1.0,1.0,0,215100.0,0.0,4.0,1.0,1.0,-19175.0,-1285,1,0,1,0,8.0,2,1
5041522,1.0,1.0,1.0,0,450000.0,0.0,1.0,2.0,1.0,-16169.0,-855,1,1,1,0,9.0,1,1
